Participant,Start,End,Sentence
18.Pink.161,12:22.8,12:24.2,"""What would you guys consider"""
18.Pink.162,12:24.2,12:27.1,"""And then the second one was the chocolate bar"""
18.Pink.163,12:27.6,12:29.1,"""And then three was a knife"""
18.Pink.164,12:29.1,12:30.2,"""Four was rope"""
18.Orange.77,12:30.2,12:31.1,"""What was seven"""
18.Pink.165,12:31.1,12:33.0,"""Seven was newspaper"""
18.Orange.78,12:33.4,12:35.4,"""Could we put newspaper at eight"""
18.Pink.166,12:35.4,12:36.0,"""Eight"""
18.Pink.167,12:36.8,12:38.9,"""Then that bumps the compress kit"""
18.Blue.82,12:39.0,12:39.6,"""Okay"""
18.Pink.168,12:40.2,12:42.6,"""We would have to bump them all up"""
18.Pink.169,12:43.3,12:45.6,"""I guess um"""
18.Pink.170,12:51.0,12:55.7,"""Oh we just changed [unclear]"""
18.Pink.171,12:57.1,12:59.4,"""Oh god $"""
18.Pink.172,13:00.1,13:04.6,"""Okay then we have the compress kit which is also eight"""
18.Pink.173,13:04.6,13:07.0,"""So where would you guys want to move that one to"""
18.Orange.79,13:07.0,13:08.1,"""Wait I have a question"""
18.Orange.80,13:08.1,13:11.1,"""How long do you think it would take to travel eighty miles"""
18.Blue.83,13:13.2,13:14.4,"""A long time I think"""
18.Blue.84,13:14.5,13:15.4,"""It is"""
18.Orange.81,13:14.5,13:15.3,"""How long"""
18.Pink.174,13:15.7,13:17.2,"""Especially if its in snow"""
18.Pink.175,13:19.2,13:22.1,"""And you dont know where youre going $"""
18.Orange.82,13:20.5,13:22.8,"""Youre definitely going to need the flashlight"""
18.Pink.176,13:22.8,13:23.5,"""Yeah"""
18.Pink.177,13:24.8,13:26.5,"""So we have that as five"""
18.Orange.83,13:25.7,13:31.6,"""And we also going to need the newspaper cause as much as it doesnt contribute to you moving further"""
18.Pink.178,13:30.4,13:30.9,"""Yeah"""
18.Blue.85,13:31.1,13:31.8,"""Yeah"""
18.Orange.84,13:32.1,13:34.0,"""You literally cant survive"""
18.Blue.86,13:34.2,13:37.2,"""And you need the map to know the direction"""
18.Orange.85,13:35.5,13:38.2,"""So maybe the map should be after"""
18.Blue.87,13:37.3,13:37.8,"""Yeah"""
